horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,271.7103101940436,16.483637650532227,10.961233591935375,0.1972613164236009,0.13165968555487811,0.19226215875149102,0.4044528634624582
10 days,273.87352859037094,16.549124707680793,11.043419435245502,0.19931374553414963,0.1337501783532166,0.19415320856750884,0.3951794894787183
11 days,277.14233530191245,16.647592477650107,11.121635073081045,0.2027139767920324,0.13567784100025093,0.19610219569941367,0.3911054478609626
12 days,281.1308906732562,16.766958301172465,11.22506394834906,0.2052539850135649,0.13733177440743713,0.19820548465738275,0.3795036764705882
13 days,282.565513957412,16.80968512368426,11.286498548744609,0.20781338805183497,0.13712001853949196,0.2003756607283801,0.3725221338535414
14 days,283.79759870884936,16.846293322533874,11.316056955752844,0.20926639547228573,0.1379109400687064,0.2017176159971501,0.37024041981938005
15 days,286.5655605567837,16.928247415393706,11.346177961841843,0.2099132296629611,0.13746520023247172,0.202395059737263,0.3748684250671223
16 days,287.8385751653138,16.965806057046443,11.36765285581837,0.2102437421099013,0.13699160149407785,0.2029927039458111,0.3733022909577054
17 days,290.6446290059382,17.048302818930047,11.42043197246772,0.21229976963241226,0.13715408200024914,0.20446890781003138,0.37095702175498296
18 days,291.8736391314418,17.084309735293427,11.424956188814663,0.2134614440115668,0.1370771145492862,0.20492011143863134,0.37064368619348564
19 days,295.31875553503414,17.184840864408205,11.482747498362178,0.2148696259318651,0.13699160149407785,0.20607313945344813,0.36976254861448715
20 days,297.00138789494946,17.23372820648363,11.52831494305792,0.2152648487802348,0.13634143509030547,0.20721106275183038,0.3694218403888752
21 days,299.50550268576166,17.30622728054158,11.574857586082265,0.21636171119540692,0.13775373352232495,0.20855074877776014,0.3734605725006052
22 days,302.8579978738695,17.402815803020772,11.614414706365976,0.21669147818864412,0.13805626472641985,0.20899108361301752,0.37562030985233597
23 days,304.6901658516525,17.455376416784958,11.661747976083493,0.21711514565879816,0.13893426499745345,0.20978636523287889,0.37062762605042016
24 days,307.23382106962583,17.528086634588096,11.716316979829076,0.21857210152063541,0.1411893267199561,0.21093685096833936,0.3641540255808206
25 days,311.76058573500205,17.656743350204817,11.789441427122313,0.21994170054628945,0.14286065818845886,0.21181137672935713,0.363680950321305
26 days,312.7064150574609,17.683506865366407,11.817368492845718,0.2208203178853854,0.1436693452824885,0.2124949884745294,0.36265568727491
27 days,311.9706970256704,17.66269223605706,11.850584256150654,0.22159078230336346,0.1442006764748499,0.21360638693468453,0.3594999846172779
28 days,311.4968142228615,17.64927234258856,11.856666987457004,0.22155996846979473,0.14569983793776115,0.21398567892233827,0.3562286429094459
29 days,312.9408740809625,17.69013493676525,11.89605916614687,0.22189210876222437,0.1466385430891342,0.2145558126809799,0.34994381102643485
30 days,313.46900270402006,17.705055851479827,11.924465500260075,0.22213722662567126,0.14766518733546832,0.2147649242585448,0.3434653340080972
31 days,313.53039402973195,17.706789489620412,11.950162989174386,0.2226893297564994,0.14949634074395038,0.2154108551376757,0.3383948104035003
32 days,314.6452079833308,17.738241400525894,11.967616572357118,0.22304131362361523,0.14985647344259295,0.21554453374715848,0.3411299426409568
33 days,312.75981437196475,17.685016663038933,11.96882594253192,0.22294331509410523,0.15039574458816954,0.21590525509420574,0.3399847071181414
34 days,312.0950483816457,17.666212055266566,11.99955711713615,0.22436442937489443,0.15130015365935717,0.2173155060925727,0.3351545479302832
35 days,313.93463996382616,17.71820081057403,12.051027043776728,0.22579460621639372,0.15322006775154534,0.2186271073662452,0.3306768591582974
36 days,318.88339386336344,17.857306455996195,12.144365647375345,0.22798127589893036,0.1578295455941086,0.22049748418448284,0.32597722715119104
37 days,321.21622212545105,17.922506022469378,12.212109919241193,0.23028499757053153,0.1603250278854272,0.2223712250586394,0.326171875
38 days,322.735342495268,17.96483627799786,12.240006107150867,0.23103026648604075,0.16330486381084808,0.22327594972278933,0.3295340605250365
39 days,323.45348092789817,17.984812507443557,12.242810184436124,0.2311141091977679,0.16556401817718291,0.2236385549805418,0.33305772360173574
40 days,324.8444022919866,18.023440356712882,12.286000360099578,0.23213246059170736,0.16828313082651514,0.22479450817110924,0.33713047719087635
41 days,326.28816895645787,18.06344842372181,12.344099591966476,0.23374536752061167,0.16995253356841988,0.22641978769486176,0.33655837334933975
42 days,330.00046156901107,18.165914828849417,12.411924829176284,0.23552927854463115,0.17114382930394956,0.22790068134820146,0.3386910549343704
43 days,332.0705056130677,18.2228018046915,12.447711955368229,0.23644113111106324,0.1729924567667903,0.2289429034865809,0.342667568060282
44 days,333.25749261272233,18.255341481679338,12.489062933649109,0.23688604307757574,0.17545944912814998,0.22992109574856115,0.3459065362825458
45 days,333.8362025674022,18.27118503456747,12.487658158811582,0.23657866999204943,0.1760164641770284,0.23006975152690132,0.3501480382111861
46 days,334.55002101833713,18.290708598037888,12.46375738934709,0.23572383175694925,0.17566798346595713,0.229553926575787,0.35508135330578516
47 days,334.6514424240298,18.293480872267853,12.471035662160128,0.23602084918323082,0.17714034402985626,0.23006359261103684,0.3552389705882353
48 days,334.86332050818726,18.299271037617515,12.488703415449187,0.23704304592414366,0.17785214710290137,0.23091482428738014,0.35572689724037765
49 days,336.5912894987278,18.34642443362542,12.514413658806758,0.23753736975976736,0.17814013246135502,0.23136022590458027,0.35531524591164265
50 days,338.7932319281556,18.406336732988333,12.545259527754498,0.2384720725579489,0.17805047517837663,0.2322507355495527,0.3538602941176471
51 days,339.2162676080149,18.41782472519529,12.579209092807249,0.23953861112389366,0.17956231042188697,0.23341326660909473,0.35123343318809
52 days,339.79584091369856,18.433552042775112,12.609636206920262,0.24034132723119028,0.1798391740814449,0.23427864985203484,0.34558823529411764
53 days,340.6000485974385,18.45535284402437,12.615036229614017,0.2401696502202526,0.17965881422988803,0.2343864180680458,0.3472959785766158
54 days,342.0716518123454,18.495179150588008,12.670651967226163,0.24126697303113756,0.1806490171219454,0.23564423536606557,0.34512867647058826
55 days,343.14822008689947,18.524260311464516,12.740667589963,0.2430227214247747,0.1811789823289065,0.23723057309557194,0.34197554021608645
56 days,345.5369729084104,18.588624825640288,12.798855393495513,0.24589340072099758,0.18024253797424478,0.23861692247874194,0.33948620942152796
57 days,348.97221200352135,18.680797948790126,12.880932548096785,0.2481299635083362,0.18111136952319584,0.24054509558798762,0.3364315257352941
